Customer_ID,Last_Purchase_Date,Total_Orders,Total_Revenue,Total_Profit,Average_Order_Value,Recency_Days,Customer_Value_Segment
CUST-0001,2025-10-29,8,18776.25,6609.259999999999,2347.03125,64,VIP
CUST-0002,2025-12-04,6,6929.24,2460.8500000000004,1154.8733333333332,28,High Value
CUST-0003,2025-10-22,8,7438.63,2250.57,929.82875,71,High Value
CUST-0004,2025-06-25,5,7108.12,2127.35,1421.624,190,High Value
CUST-0005,2025-04-30,6,9947.300000000001,4135.32,1657.8833333333334,246,VIP
CUST-0006,2024-11-11,5,6816.01,2318.7799999999997,1363.202,416,High Value
CUST-0007,2025-10-12,4,5720.13,1905.8899999999999,1430.0325,81,High Value
CUST-0008,2025-09-10,5,10146.92,3197.97,2029.384,113,VIP
CUST-0009,2025-06-05,5,7059.47,2716.5,1411.894,210,High Value
CUST-0010,2025-11-30,10,11823.79,3097.2799999999997,1182.3790000000001,32,VIP
CUST-0011,2025-04-16,7,5981.67,1667.38,854.5242857142857,260,High Value
CUST-0012,2024-12-20,4,10172.36,2993.33,2543.09,377,VIP
CUST-0013,2025-08-30,8,6385.360000000001,2040.59,798.1700000000001,124,High Value
CUST-0014,2025-12-16,6,9261.28,2998.67,1543.5466666666669,16,VIP
CUST-0015,2025-12-19,3,8189.43,2451.28,2729.81,13,High Value
CUST-0016,2025-09-07,5,2170.02,793.91,434.004,116,Low Value
CUST-0017,2023-12-10,3,6572.41,1884.0700000000002,2190.8033333333333,753,High Value
CUST-0018,2025-12-28,6,6321.1,1879.8799999999999,1053.5166666666667,4,High Value
CUST-0019,2025-11-11,11,23026.68,7132.5599999999995,2093.3345454545456,51,VIP
CUST-0020,2025-11-24,7,5805.08,1883.07,829.2971428571428,38,High Value
CUST-0021,2025-03-24,8,23269.739999999998,5950.56,2908.7174999999997,283,VIP
CUST-0022,2025-08-31,6,13067.51,3274.43,2177.9183333333335,123,VIP
CUST-0023,2025-08-02,8,23489.35,7224.81,2936.16875,152,VIP
CUST-0024,2024-05-11,1,446.65,92.35,446.65,600,Low Value
CUST-0025,2025-09-02,5,5638.389999999999,1767.0,1127.6779999999999,121,High Value
CUST-0026,2024-02-25,2,2693.8199999999997,904.15,1346.9099999999999,676,Low Value
CUST-0027,2025-08-31,8,6296.67,1813.52,787.08375,123,High Value
CUST-0028,2025-08-06,6,4389.280000000001,1109.59,731.5466666666667,148,Medium Value
CUST-0029,2025-12-16,10,3658.64,1146.95,365.864,16,Medium Value
CUST-0030,2025-07-11,5,6281.54,1485.55,1256.308,174,High Value
CUST-0031,2025-04-16,5,10881.990000000002,3045.17,2176.398,260,VIP
CUST-0032,2025-09-24,6,9940.77,3124.82,1656.795,99,VIP
CUST-0033,2025-05-28,5,15075.919999999998,5495.52,3015.1839999999997,218,VIP
CUST-0034,2025-03-11,3,5376.51,2152.01,1792.17,296,Medium Value
CUST-0035,2025-03-29,6,14567.720000000001,5042.75,2427.9533333333334,278,VIP
CUST-0036,2025-06-23,6,2562.43,647.03,427.07166666666666,192,Low Value
CUST-0037,2025-11-16,7,10106.33,3010.96,1443.7614285714285,46,VIP
CUST-0038,2025-05-04,8,22233.53,5756.63,2779.19125,242,VIP
CUST-0039,2025-06-08,5,9589.49,3529.58,1917.898,207,VIP
CUST-0040,2025-11-15,3,1627.88,479.69,542.6266666666667,47,Low Value
CUST-0041,2025-12-22,4,2400.76,676.78,600.19,10,Low Value
CUST-0042,2025-03-11,5,6137.27,1904.65,1227.4540000000002,296,High Value
CUST-0043,2025-08-20,6,2463.78,911.6500000000001,410.63000000000005,134,Low Value
CUST-0044,2024-12-24,2,428.84000000000003,132.92000000000002,214.42000000000002,373,Low Value
CUST-0045,2024-04-15,4,3662.82,1268.54,915.705,626,Medium Value
CUST-0046,2024-10-29,5,3884.5,1034.19,776.9,429,Medium Value
CUST-0047,2025-06-01,2,871.28,348.74,435.64,214,Low Value
CUST-0048,2025-05-24,8,15246.4,4345.34,1905.8,222,VIP
CUST-0049,2024-09-01,6,8494.57,2395.84,1415.7616666666665,487,High Value
CUST-0050,2024-12-28,4,4859.77,1527.9,1214.9425,369,Medium Value
CUST-0051,2025-11-30,8,6734.73,2185.58,841.84125,32,High Value
CUST-0052,2025-12-09,10,19878.1,5668.84,1987.81,23,VIP
CUST-0053,2025-03-01,4,12684.51,4120.49,3171.1275,306,VIP
CUST-0054,2024-03-22,5,6178.68,1678.52,1235.736,650,High Value
CUST-0055,2025-12-03,4,3632.35,1105.77,908.0875,29,Medium Value
CUST-0056,2025-05-28,9,16395.57,6265.56,1821.73,218,VIP
CUST-0057,2025-02-07,6,8057.4800000000005,2918.91,1342.9133333333334,328,High Value
CUST-0058,2025-11-08,3,2705.86,1159.25,901.9533333333334,54,Low Value
CUST-0059,2025-12-13,8,3765.89,1068.94,470.73625,19,Medium Value
CUST-0060,2024-07-04,3,5528.5599999999995,1295.5800000000002,1842.8533333333332,546,High Value
CUST-0061,2024-04-02,3,1461.23,372.53,487.07666666666665,639,Low Value
CUST-0062,2025-02-14,6,6904.780000000001,1466.56,1150.7966666666669,321,High Value
CUST-0063,2025-09-29,3,5337.78,1922.4299999999998,1779.26,94,Medium Value
CUST-0064,2025-09-01,2,6511.200000000001,1783.68,3255.6000000000004,122,High Value
CUST-0065,2025-05-04,3,8348.57,2508.98,2782.8566666666666,242,High Value
CUST-0066,2025-12-03,5,4796.56,1381.8,959.3120000000001,29,Medium Value
CUST-0067,2025-10-11,3,1371.06,482.76,457.02,82,Low Value
CUST-0068,2025-04-29,4,2043.18,626.0699999999999,510.795,247,Low Value
