Year_Month,Revenue,Profit,Orders,Customers,Average_Order_Value
2023-01,151368.99,47075.76,162,153,934.3764814814814
2023-02,180541.37,56651.76,127,120,1421.585590551181
2023-03,171390.87,54906.11,129,124,1328.6113953488373
2023-04,150721.79,48435.56,131,122,1150.5480152671757
2023-05,194337.78,63828.01,148,138,1313.093108108108
2023-06,147953.47,46572.95,140,133,1056.8105
2023-07,193756.43,59549.36,146,131,1327.0988356164382
2023-08,227888.78,71248.85,147,140,1550.2638095238094
2023-09,207350.35,64921.85,147,138,1410.5465986394559
2023-10,145498.12,43140.729999999996,129,126,1127.8924031007753
2023-11,181291.81,57990.0,150,137,1208.6120666666666
2023-12,172819.86,52421.22,133,123,1299.3974436090225
2024-01,193420.06,61639.03,139,133,1391.5112230215827
2024-02,124591.77,38889.92,105,98,1186.5882857142858
2024-03,185819.56,61040.92,151,139,1230.5931125827815
2024-04,148333.02,47408.93,125,117,1186.6641599999998
2024-05,180067.66,56976.79,136,132,1324.0269117647058
2024-06,166439.39,50937.63,144,129,1155.8290972222223
2024-07,208477.93,64319.29,163,151,1279.0057055214722
2024-08,233574.91999999998,67268.66,149,141,1567.6169127516778
2024-09,186764.47,59728.58,139,128,1343.6292805755395
2024-10,172212.48,52575.96,126,116,1366.7657142857145
2024-11,173270.98,53893.95,136,126,1274.0513235294118
2024-12,149357.1,48101.46,135,127,1106.348888888889
2025-01,175764.98,57383.62,143,138,1229.1257342657343
2025-02,146028.85,46254.68,111,107,1315.5752252252253
2025-03,201862.37,63646.45,162,147,1246.064012345679
2025-04,176951.07,57696.47,140,132,1263.9362142857144
2025-05,162389.23,50539.28,146,135,1112.255
2025-06,148098.02,45739.19,132,124,1121.954696969697
2025-07,139423.92,41465.53,131,121,1064.3047328244277
2025-08,218889.78,66215.52,159,156,1376.665283018868
2025-09,169824.05,53771.93,121,111,1403.5045454545455
2025-10,176171.4,54540.28,129,118,1365.6697674418604
2025-11,165429.14,53069.9,125,121,1323.4331200000001
2025-12,205737.59,62828.92,164,148,1254.4975
