Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,Category,Product,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Year,Month_Number,Month,Year_Month,Profit_Margin_Percent
ORD-00001,2023-11-27,CUST-0215,Consumer,Manitoba,Furniture,Lamp,5,205.92,0.1,926.64,621.2,305.44,2023,11,Nov,2023-11,32.962099628766296
ORD-00002,2025-08-13,CUST-0386,Consumer,Alberta,Office Supplies,Pens,2,7.37,0.1,13.27,10.66,2.61,2025,8,Aug,2025-08,19.668425018839486
ORD-00003,2024-11-30,CUST-0476,Consumer,British Columbia,Office Supplies,Folders,1,54.67,0.05,51.94,34.17,17.76,2024,11,Nov,2024-11,34.193299961494034
ORD-00004,2023-06-16,CUST-0841,Consumer,Ontario,Furniture,Cabinet,3,553.55,0.15,1411.55,1035.63,375.92,2023,6,Jun,2023-06,26.631716906946266
ORD-00005,2025-08-13,CUST-0367,Consumer,Manitoba,Clothing,T-Shirt,2,108.65,0.0,217.3,159.66,57.64,2025,8,Aug,2025-08,26.525540727105383
ORD-00006,2024-07-19,CUST-0390,Consumer,Manitoba,Clothing,Jeans,4,229.14,0.0,916.56,691.04,225.52,2024,7,Jul,2024-07,24.605044950685173
ORD-00007,2024-03-31,CUST-0816,Consumer,Alberta,Clothing,T-Shirt,2,123.44,0.15,209.85,149.29,60.56,2024,3,Mar,2024-03,28.858708601381945
ORD-00008,2025-02-02,CUST-0217,Corporate,Manitoba,Electronics,Headphones,2,721.02,0.05,1369.94,970.5,399.44,2025,2,Feb,2025-02,29.157481349548153
ORD-00009,2025-12-22,CUST-0472,Corporate,Ontario,Electronics,Headphones,1,166.58,0.15,141.59,85.47,56.12,2025,12,Dec,2025-12,39.63556748357935
ORD-00010,2023-05-15,CUST-0028,Small Business,Alberta,Office Supplies,Pens,5,93.7,0.2,374.8,272.03,102.77,2023,5,May,2023-05,27.419957310565636
ORD-00011,2024-10-04,CUST-0943,Corporate,Quebec,Furniture,Lamp,3,670.17,0.1,1809.46,1182.28,627.18,2024,10,Oct,2024-10,34.661169630718554
ORD-00012,2025-05-13,CUST-0575,Corporate,Alberta,Electronics,Keyboard,2,957.62,0.0,1915.24,1109.17,806.07,2025,5,May,2025-05,42.08715356822122
ORD-00013,2024-07-31,CUST-0525,Corporate,Ontario,Office Supplies,Stapler,5,109.37,0.05,519.51,314.21,205.3,2024,7,Jul,2024-07,39.518007353082716
ORD-00014,2023-07-09,CUST-0640,Consumer,Ontario,Electronics,Mouse,4,1453.48,0.05,5523.22,4354.98,1168.24,2023,7,Jul,2023-07,21.151429781902582
ORD-00015,2024-10-10,CUST-0411,Consumer,Ontario,Office Supplies,Notebook,1,99.07,0.0,99.07,58.89,40.18,2024,10,Oct,2024-10,40.557181790653075
ORD-00016,2024-03-17,CUST-0233,Small Business,Quebec,Electronics,Mouse,3,465.88,0.0,1397.64,964.47,433.17,2024,3,Mar,2024-03,30.992959560401818
ORD-00017,2025-05-04,CUST-0220,Consumer,Ontario,Office Supplies,Folders,1,37.76,0.0,37.76,30.72,7.04,2025,5,May,2025-05,18.64406779661017
ORD-00018,2023-07-22,CUST-0836,Consumer,Ontario,Office Supplies,Printer Paper,2,66.06,0.2,105.7,65.04,40.66,2023,7,Jul,2023-07,38.467360454115415
ORD-00019,2023-07-06,CUST-0201,Consumer,Manitoba,Office Supplies,Folders,3,77.72,0.15,198.19,151.72,46.46,2023,7,Jul,2023-07,23.44215147081084
ORD-00020,2025-05-13,CUST-0148,Consumer,Ontario,Clothing,Shoes,3,175.84,0.1,474.77,364.89,109.88,2025,5,May,2025-05,23.143838068959706
ORD-00021,2023-09-20,CUST-0151,Corporate,Quebec,Office Supplies,Printer Paper,3,101.34,0.0,304.02,176.53,127.49,2023,9,Sep,2023-09,41.93474113545162
ORD-00022,2025-11-26,CUST-0453,Small Business,Ontario,Clothing,Shoes,2,141.82,0.2,226.91,183.95,42.96,2025,11,Nov,2025-11,18.93261645586356
ORD-00023,2024-09-19,CUST-0673,Consumer,Alberta,Electronics,Keyboard,3,1316.31,0.15,3356.59,2212.72,1143.87,2024,9,Sep,2024-09,34.078335453540646
